2026-09-08 10:00:57.513 Python[42699:12158833] profile function : main
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003962
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004822
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.concat, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.007233
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios16.reduce_mean, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003964
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000023
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.sigmoid_hard, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000003
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004823
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004757
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.007925
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.009644
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.030458
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003962
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004822
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002373
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.523 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015229
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004618
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003408
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002638
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015229
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004618
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.524 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003408
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002638
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015229
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004618
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003408
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002638
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015229
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.525 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.004618
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003408
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001981
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002411
2026-09-08 10:00:57.526 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002638
